Phrase	Count
ARCHAIC	332
ARCHAION	87
ARDHACANDRA	1
ARDHAVISARGA	2
ARE	1
AREPA	1
ARGI	2
ARGON	1
ARGOSYNTHETO	1
ARGOSYNTHETON	2
ARGOTERI	1
ARIES	1
ARISTERA	141
ARKAANU	1
ARKAB	1
ARKTIKO	14
ARLAUG	1
ARM	15965
ARMENIAN	670
ARMOUR	1
ARMS	1
ARMY	1
AROUND	13
AROUND-PROFI	1
AROURA	1
AROUSING	1
ARPEGGIATO	4
AR-RAHEEM	1
AR-RAHMAN	1
ARRAY	1
ARRIVE	1
ARRIVING	1
ARROW	29996
ARROWHEAD	757
ARROWHEADS	4
ARROWHEAD-SH	1
ARROWS	3691
ARROW-TAIL	8
AR-RUB	1
ARSENIC	1
ARSEOS	8
ARTA	1
ARTABE	1
ARTICULATED	1
ARTIST	1
ARTS	2
ARUHUA	1
AS	390
ASAL2	1
ASAT	1
ASCENDING	2
ASCENT	1
ASCIA	1
ASH	4811
ASH2	308
ASH3	1
ASH9	1
ASHES	2
ASHGAB	7
ASIA-AUSTRAL	1
ASPER	1
ASPIRATED	1
ASPIRATION	2
AS-SAJDA	1
AS-SALAAM	4
AS-SALAATU	1
ASSALLAM	1
ASSERTION	1
ASSYRIAN	646
ASTERISCUS	1
ASTERISK	161
ASTERISKS	1
ASTERISM	1
ASTONISHED	1
ASTRAEA	1
ASTROLOGICAL	36
ASTRONOMICAL	1
ASTRONOMICAL SYMBOL FOR	1
ASYMPTOTICAL	1
ASYMPTOTICALLY	4
ASYURA	1
ASZ	1
AT	10421
ATHAPASCAN	2
ATHARVAVEDIC	1
ATHLETIC	1
ATH-THALATHA	1
ATIKRAMA	1
ATIU	2
ATIYA	1
ATMAAU	1
ATNAH	1
ATOM	1
ATOMIC	4
ATT	1
ATTACHED	162
ATTACHING	1
ATTAK	60
ATTENTION	1
ATTHACAN	1
ATTIC	401
AU	372
A-U	1
AUBERGINE	1
AUE	2
AUGMENTATION	1
AUGUST	1
AUNN	1
AURAMAZDAA	1
AURAMAZDAA-2	1
AURAMAZDAAHA	1
AURIPIGMENT	1
AUSTRAL	1
AUTO	1
AUTOMATED	1
AUTOMOBILE	2
AUTUMN	1
AUYANNA	1
AV	96
AVA	1
AVAGRAHA	55
AVAKRAHASANY	1
AVERAGE	1
AVESTAN	163
AVOCADO	1
AW	18
AWAY	72
AWC	1
AWE	1
A-WO	1
AWQ	1
AWX	2
AWZ	1
AX	2
AXE	3
AY	55
AYAH	4
AYANNA	1
AYB	7
AYER	1
AYIN	38
AYIN-DALETH	1
AYN	2
AZ	2
AZU	3
AZZA	1
B	2335
B001	1
B002	1
B003	1
B004	1
B005	1
B005A	1
B006	1
B007	1
B008	1
B009	1
B010	1
B011	1
B012	1
B013	1
B014	1
B015	1
B016	1
B017	1
B018	1
B019	1
B020	1
B021	1
B022	1
B023	1
B024	1
B025	1
B026	1
B027	1
B028	1
B029	1
B030	1
B031	1
B032	1
B033	1
B034	1
B036	1
B037	1
B038	1
B039	1
B040	1
B041	1
B042	1
B043	1
B044	1
B045	1
B046	1
B047	1
B048	1
B049	1
B050	1
B051	1
B052	1
B053	1
B054	1
B055	1
B056	1
B057	1
B058	1
B059	1
B060	1
B061	1
B062	1
B063	1
B064	1
B065	1
B066	1
B067	1
B068	1
B069	1
B070	1
B071	1
B072	1
B073	1
B074	1
B075	1
B076	1
B077	1
B078	1
B079	1
B080	1
B081	1
B082	1
B083	1
B085	1
B086	1
B087	1
B089	1
B090	1
B091	1
B100	1
B102	1
B104	1
B105	1
B105F	1
B105M	1
B106F	1
B106M	1
B107F	1
B107M	1
B108F	1
B108M	1
B109F	1
B109M	1
B120	1
B121	1
B122	1
B123	1
B125	1
B127	1
B128	1
B130	1
B131	1
B132	1
B133	1
B135	1
B140	1
B141	1
B142	1
B145	1
B146	1
B150	1
B151	1
B152	1
B153	1
B154	1
B155	1
B156	1
B157	1
B158	1
B159	1
B160	1
B161	1
B162	1
B163	1
B164	1
B165	1
B166	1
B167	1
B168	1
B169	1
B170	1
B171	1
B172	1
B173	1
B174	1
B176	1
B177	1
B178	1
B179	1
B180	1
B181	1
B182	1
B183	1
B184	1
B185	1
B189	1
B190	1
B191	1
B200	1
B201	1
B202	1
B203	1
B204	1
B205	1
B206	1
B207	1
B208	1
B209	1
B210	1
B211	1
B212	1
B213	1
B214	1
B215	1
B216	1
B217	1
B218	1
B219	1
B220	1
